11.5,0.823,80.8,24,0.53,5.3,33.3,0.447,3.8,41.8,0.64,3.5,48,0.69,4.3,60.4,0.712,5.9,16,59,1.38
9,0.818,47.5,11,0.771,65.8,24,0.222,3.3,25.3,0.309,2.4,35.3,0.405,1.1,40.9,0.639,8.8,16,62,1.40
11.1,1.3,93.2,23.3,0.543,16.2,33.6,0.448,3.62,40.4,0.488,7.22,48.5,0.497,4.56,58.3,0.471,5.1,16,76,1.45
8.7,0.746,86.6,18.3,0.312,1.2,26.6,0.447,1.4,35.1,0.231,0,39.4,0.382,0,48.5,0.273,1.3,12,64,1.40
10.5,1.1,120,23.2,0.602,41.3,36.4,0.598,26,50.9,0.871,24,59.2,0.338,0,58.9,0.719,4.2,12,82,1.48
6.2,0.794,97,15.9,0.289,1.4,23.6,0.315,1.6,34.1,0.279,0,39.1,0.384,1.3,48.7,0.338,0.8,12,73,1.44
10.6,0.716,88.8,20.4,0.241,0,26.9,0.356,7.4,38.8,0.405,2.1,51.7,0.382,3.3,59.1,0.268,12.7,18,81,1.47
8.6,0.765,94,20.7,0.355,3.35,28.5,0.318,5.1,40.4,0.422,0,44.6,0.436,3.9,55.1,0.745,3.5,18,72,1.44
9.3,0.829,81,20.1,0.104,1.3,27.9,0.417,7.1,38.1,0.281,0.8,45.2,0.376,1.6,54.4,1.07,16.7,18,73,1.44
10.9,0.806,114,23.7,0.446,26.4,32,0.181,0,37.5,0.291,0,41.4,0.256,3.5,49.9,0.345,0,18,75,1.45
14.5,0.604,43,24.4,0.241,2.4,31.7,0.438,0,39.6,0.379,14.3,48.9,0.227,0,57.1,0.253,1.7,18,72,1.44
11.3,0.223,42,20.7,0.393,2.3,28.7,0.542,6.3,37.6,0.755,6.2,45,0.411,2.2,55.4,0.625,5.3,18,86,1.50
11.2,0.558,82.7,22.1,0.479,3.2,30.8,0.363,0.9,34.4,0.293,0,41.9,0.242,2.3,50.6,0.654,4.8,16,60,1.39
12.1,0.217,36.5,20.3,0.325,3.4,28.2,0.335,0,34.5,0.509,11.1,48.7,0.955,17.8,58.2,0.788,3.38,16,74,1.45
10.5,0.256,9.5,18.4,0.234,2.6,25.1,0.469,2.2,33.4,0.311,0,38.6,0.158,0,46.9,0.478,2.3,12,87,1.50
11.2,0.279,30,18.3,0.305,0,23.8,0.296,0,29.6,0.174,0,36.9,0.304,1.1,42.8,0.784,4.2,12,57,1.37
11.4,0.455,48.3,21.4,0.335,2.6,28.9,0.346,0,34.4,0.453,0,38.4,0.531,4.6,46.8,0.786,3.8,16,42,1.31
11.7,0.424,1.2,19.5,0.429,1.8,29.2,0.521,6.7,38,0.216,0,44.1,0.415,0,53.3,0.631,3.7,16,74,1.45
10.1,0.557,109.1,21.9,0.562,41.1,33.6,0.549,3.2,47.1,0.841,13.8,59.9,0.556,9.3,67.5,1.145,15.1,16,76,1.45
10.2,0.628,82,21.9,0.439,2.8,31.7,0.383,6.2,39.3,0.617,7.4,46.9,0.501,4.1,58.1,0.855,6.7,16,93,1.52
10.9,0.312,40,17.8,0.232,1.3,23.4,0.236,0,29.4,0.257,0,36.4,0.201,0,37.9,0.157,0,16,77,1.46
